ordercode,productcode,quantity,discount
1,403,7,0.03
1,1756,10,0.09
1,1459,4,0.14
1,464,9,0.12
1,86,2,0.2
1,1142,2,0.02
1,328,9,0.2
1,540,9,0.13
2,123,6,0.07
2,1192,9,0.18
2,1444,3,0.18
2,922,6,0.04
2,586,9,0.1
2,481,5,0.11
3,338,4,0.07
3,644,3,0.13
4,1019,5,0.05
4,1335,7,0.03
4,770,8,0.07
5,793,10,0.14
5,1542,4,0.04
5,1944,5,0.19
6,686,10,0.18
6,1066,3,0.04
6,179,5,0.17
6,1435,6,0.19
6,1576,10,0.01
6,1502,5,0.2
6,599,4,0.01
6,776,7,0.03
6,518,6,0.03
6,908,6,0.07
7,715,10,0.1
7,1740,4,0.13
7,540,2,0.15
7,215,5,0.03
7,1841,5,0.19
7,221,5,0.04
8,1718,5,0.13
8,701,7,0.05
8,746,1,0.07
8,623,4,0.18
8,1242,4,0.04
8,859,3,0.18
8,47,7,0.13
8,337,7,0.16
9,1649,2,0.2
9,334,2,0.18
9,943,1,0.09
9,1248,1,0.06
10,1579,9,0.18
10,1241,2,0.13
10,438,4,0.17
11,1824,9,0.03
11,424,1,0.12
11,1387,2,0.03
11,763,10,0.12
11,894,4,0.04
11,1757,3,0.01
11,1005,9,0.0
12,1062,10,0.14
12,1534,8,0.11
12,1203,3,0.16
12,1269,3,0.1
12,21,8,0.11
12,577,4,0.0
13,1089,2,0.18
13,507,1,0.18
13,285,9,0.06
13,954,8,0.05
13,1039,9,0.01
13,1524,8,0.11
14,904,1,0.04
14,192,7,0.09
14,1282,7,0.03
14,1866,9,0.18
14,886,5,0.15
14,1577,5,0.11
14,653,6,0.04
14,1508,8,0.03
15,1608,3,0.16
15,1268,8,0.13
15,1609,4,0.19
15,286,6,0.2
15,1555,1,0.02
15,487,2,0.1
15,1065,3,0.09
16,1650,9,0.05
16,1427,5,0.04
16,1633,1,0.17
16,1471,4,0.11
16,47,8,0.15
16,32,2,0.04
16,587,9,0.12
17,391,2,0.03
17,745,8,0.13
17,1094,10,0.13
17,1822,1,0.19
17,272,1,0.18
17,156,9,0.07
17,1006,6,0.04
17,1007,1,0.14
18,1318,8,0.04
18,1201,3,0.18
18,1100,7,0.0
18,1809,2,0.12
18,712,10,0.2
18,378,4,0.06
19,93,5,0.04
19,1756,10,0.05
19,1031,7,0.18
19,392,5,0.02
20,1964,1,0.04
20,347,4,0.06
20,1761,8,0.05
20,173,6,0.11
20,262,6,0.19
20,1851,10,0.01
21,851,3,0.01
21,701,1,0.16
21,978,3,0.09
21,29,6,0.1
21,1807,1,0.09
22,1923,3,0.09
22,1028,1,0.12
22,1228,6,0.08
22,381,1,0.14
23,539,2,0.07
23,150,9,0.08
23,1106,10,0.06
23,1336,8,0.16
23,979,6,0.12
23,1583,7,0.03
23,1196,3,0.0
23,1689,9,0.19
23,1945,4,0.06
24,1865,3,0.03
24,1997,6,0.08
25,603,3,0.19
25,911,7,0.1
26,1178,7,0.17
26,1086,5,0.08
26,1918,1,0.19
26,991,8,0.13
26,1624,9,0.07
26,1903,2,0.06
27,702,4,0.08
27,132,7,0.11
28,697,5,0.05
28,136,2,0.17
28,1758,4,0.04
28,1669,2,0.15
28,140,8,0.1
29,1773,6,0.03
29,767,4,0.07
29,1976,6,0.1
29,1545,7,0.15
29,716,8,0.2
30,1412,3,0.16
30,1062,6,0.0
30,1535,8,0.15
30,648,7,0.14
30,584,10,0.11
30,563,8,0.14
30,549,2,0.03
30,1528,9,0.01
31,780,4,0.04
31,1211,5,0.19
31,1528,3,0.07
31,1446,1,0.0
31,14,4,0.14
31,290,10,0.05
32,1877,2,0.08
32,670,1,0.05
32,1987,6,0.02
32,494,3,0.07
32,202,7,0.15
32,750,6,0.05
32,60,7,0.16
32,1696,4,0.16
32,899,9,0.01
32,1082,1,0.19
33,257,6,0.03
33,46,8,0.14
33,1715,1,0.15
33,1689,6,0.19
34,1191,3,0.17
34,752,3,0.17
34,167,3,0.16
34,1887,8,0.13
34,782,9,0.08
34,1782,3,0.1
34,1968,5,0.0
34,1889,3,0.19
34,1444,10,0.13
35,1552,5,0.13
35,1332,6,0.12
35,928,8,0.03
35,89,3,0.04
35,572,10,0.05
35,1169,8,0.01
35,1454,9,0.08
35,1015,2,0.09
36,1186,6,0.14
36,242,5,0.12
36,931,10,0.15
36,1356,6,0.06
36,438,8,0.19
37,1069,2,0.19
37,1901,9,0.11
