code,orderdate,customercode,type,paymentmethod
1,2023-04-11 13:11:28,137,online,PayPal
2,2023-04-10 19:20:06,899,phone,Cash
3,2023-04-13 03:26:10,827,in-store,Cash
4,2023-04-08 00:29:41,1762,phone,PayPal
5,2023-04-06 00:16:56,456,in-store,CreditCard
6,2023-04-02 13:35:13,143,online,PayPal
7,2023-04-08 19:35:24,1576,phone,CreditCard
8,2023-04-09 16:12:44,329,phone,PayPal
9,2023-04-05 16:52:43,1646,online,CreditCard
10,2023-04-02 12:14:21,1977,phone,PayPal
11,2023-04-03 21:44:02,152,in-store,CreditCard
12,2023-04-03 06:12:20,58,online,PayPal
13,2023-04-02 16:47:10,522,in-store,Cash
14,2023-04-05 17:40:05,1861,online,CreditCard
15,2023-04-11 02:06:51,1921,phone,Cash
16,2023-04-01 04:44:07,1945,phone,Cash
17,2023-04-14 03:56:42,1799,phone,Cash
18,2023-04-14 14:40:18,1519,in-store,Cash
19,2023-04-01 06:01:04,1174,online,CreditCard
20,2023-04-11 15:01:43,1468,phone,CreditCard
21,2023-04-09 06:26:01,266,phone,CreditCard
22,2023-04-09 13:02:13,1833,phone,PayPal
23,2023-04-10 08:25:01,1278,phone,PayPal
24,2023-04-01 22:30:59,1473,online,CreditCard
25,2023-04-10 10:16:39,412,online,PayPal
26,2023-04-05 20:01:15,1787,online,CreditCard
27,2023-04-06 02:27:26,1715,phone,CreditCard
28,2023-04-13 15:52:30,1396,online,CreditCard
29,2023-04-10 04:12:28,1096,online,Cash
30,2023-04-13 16:52:11,1264,in-store,CreditCard
31,2023-04-09 18:19:02,472,phone,PayPal
32,2023-04-03 13:13:16,216,online,CreditCard
33,2023-04-07 08:48:42,1972,online,PayPal
34,2023-04-03 08:55:46,509,phone,CreditCard
35,2023-04-04 01:18:54,1434,in-store,PayPal
36,2023-04-07 23:38:05,1189,phone,CreditCard
37,2023-04-01 01:33:09,441,in-store,PayPal
38,2023-04-13 14:45:21,146,online,CreditCard
39,2023-04-13 17:29:11,337,phone,CreditCard
40,2023-04-06 06:28:25,1005,in-store,Cash
41,2023-04-06 15:45:58,1999,online,CreditCard
42,2023-04-10 03:03:07,1916,online,PayPal
43,2023-04-07 04:18:31,22,phone,CreditCard
44,2023-04-13 23:58:36,913,phone,PayPal
45,2023-04-11 19:49:57,785,in-store,Cash
46,2023-04-14 16:03:18,941,phone,CreditCard
47,2023-04-09 06:25:03,1180,phone,Cash
48,2023-04-05 15:11:48,1324,phone,Cash
49,2023-04-12 23:59:01,1848,online,Cash
50,2023-04-05 17:24:44,112,phone,Cash
51,2023-04-12 10:56:55,1730,in-store,Cash
52,2023-04-14 17:28:25,1516,in-store,PayPal
53,2023-04-13 08:44:38,142,phone,CreditCard
54,2023-04-04 06:11:50,1460,in-store,CreditCard
55,2023-04-03 07:15:45,657,online,Cash
56,2023-04-02 06:49:17,796,in-store,Cash
57,2023-04-05 09:15:59,1209,in-store,Cash
58,2023-04-09 22:10:22,1800,online,PayPal
59,2023-04-07 20:34:49,1401,in-store,CreditCard
60,2023-04-10 17:35:37,194,phone,Cash
61,2023-04-13 08:03:36,798,online,CreditCard
62,2023-04-10 10:44:09,256,phone,CreditCard
63,2023-04-02 06:38:25,620,online,CreditCard
64,2023-04-01 02:33:02,1863,in-store,Cash
65,2023-04-03 16:42:56,15,online,Cash
66,2023-04-07 11:48:33,1652,online,PayPal
67,2023-04-03 07:11:39,1818,online,Cash
68,2023-04-05 20:06:59,1216,phone,Cash
69,2023-04-01 21:47:20,1302,phone,PayPal
70,2023-04-02 10:54:10,1115,in-store,PayPal
71,2023-04-08 11:05:39,429,phone,Cash
72,2023-04-12 02:14:37,2000,phone,CreditCard
73,2023-04-02 02:31:02,362,phone,PayPal
